coal_rmb_per_t_5500kcal_exVAT,coal_usd_per_GJ,h2_fuel_component_usd_per_kg,h2_full_cost_usd_per_kg_central,h2_full_lo,h2_full_hi,aniline_h2_line_usd_per_t
400,2.449,0.568,1.136,0.971,1.404,74.5
500,3.062,0.71,1.419,1.214,1.755,93.1
600,3.674,0.852,1.703,1.456,2.107,111.7
700,4.287,0.994,1.987,1.699,2.458,130.4
800,4.899,1.136,2.271,1.942,2.809,149.0
900,5.511,1.278,2.555,2.184,3.16,167.6
1000,6.124,1.419,2.839,2.427,3.511,186.2
1100,6.736,1.561,3.123,2.67,3.862,204.9
1200,7.348,1.703,3.407,2.913,4.213,223.5
1300,7.961,1.845,3.691,3.155,4.564,242.1
